participant,esm,question,answer,previous_condition
665,before,zaniepokojony/a,0,none
665,before,akceptowany/a,0,none
665,before,odprężony/a?,0,none
665,before,spokojny/a,0,none
665,before,związany/a z innymi?,0,none
665,before,zestresowany/a,0,none
665,before,radosny/a?,0,none
665,before,wykluczony/a,0,none
665,before,samotny/a,0,none
665,first,spokojny/a,0,fair
665,first,odprężony/a?,0,fair
665,first,zaniepokojony/a,0,fair
665,first,radosny/a?,0,fair
665,first,związany/a z innymi?,0,fair
665,first,zestresowany/a,0,fair
665,first,akceptowany/a,0,fair
665,first,wykluczony/a,0,fair
665,first,samotny/a,0,fair
665,first,nieprzyjemna,0,fair
665,first,godna zaufania,0,fair
665,first,nieszczera,0,fair
665,first,oceniająca,0,fair
665,first,akceptująca,0,fair
665,first,przyjazna,0,fair
665,first,"Cokolwiek każde z nas zrobiło, w tej suytuacji, nie miałoby to wpływu na drugą osobę.",0,fair
665,first,Nasz cele w tej sytuacji są sprzeczne.,0,fair
665,first,"To, co każde z nas zrobiło w tej sytuacji, wpływa na drugą osobę",0,fair
665,first,Każda z osób mogła uzyskać pożądane cele.,0,fair
665,first,Kto miał większą możliwość wpływania na na przebieg sytuacji?,0,fair
665,first,Kto miał najmniejszy wpływ na wynik tej sytuacji?,0,fair
665,first,przyjmowałem/am perspektywę drugiej osoby.,0,fair
665,first,skupiałem/am się na swojej perspektywie.,0,fair
665,first,odczuwałem/am troskę i współczucie.,0,fair
665,first,odczuwałem/am dystans i chłód,0,fair
665,second,związany/a z innymi?,0,unfair
665,second,spokojny/a,0,unfair
665,second,zestresowany/a,0,unfair
665,second,radosny/a?,0,unfair
665,second,odprężony/a?,0,unfair
665,second,akceptowany/a,0,unfair
665,second,zaniepokojony/a,0,unfair
665,second,samotny/a,0,unfair
665,second,wykluczony/a,0,unfair
665,second,oceniająca,0,unfair
665,second,nieprzyjemna,0,unfair
665,second,przyjazna,0,unfair
665,second,godna zaufania,0,unfair
665,second,nieszczera,0,unfair
665,second,akceptująca,0,unfair
665,second,"Cokolwiek każde z nas zrobiło, w tej suytuacji, nie miałoby to wpływu na drugą osobę.",0,unfair
665,second,Każda z osób mogła uzyskać pożądane cele.,0,unfair
665,second,Nasz cele w tej sytuacji są sprzeczne.,0,unfair
665,second,"To, co każde z nas zrobiło w tej sytuacji, wpływa na drugą osobę",0,unfair
665,second,Kto miał większą możliwość wpływania na na przebieg sytuacji?,0,unfair
665,second,Kto miał najmniejszy wpływ na wynik tej sytuacji?,0,unfair
665,second,odczuwałem/am dystans i chłód,0,unfair
665,second,przyjmowałem/am perspektywę drugiej osoby.,0,unfair
665,second,skupiałem/am się na swojej perspektywie.,0,unfair
665,second,odczuwałem/am troskę i współczucie.,0,unfair
665,third,radosny/a?,0,fair
665,third,spokojny/a,0,fair
665,third,zestresowany/a,0,fair
665,third,odprężony/a?,0,fair
665,third,akceptowany/a,0,fair
665,third,związany/a z innymi?,0,fair
665,third,zaniepokojony/a,0,fair
665,third,zaniepokojony/a,0,fair
665,third,nieprzyjemna,0,fair
665,third,oceniająca,0,fair
665,third,przyjazna,0,fair
665,third,akceptująca,0,fair
665,third,godna zaufania,0,fair
665,third,nieszczera,0,fair
665,third,Nasz cele w tej sytuacji są sprzeczne.,0,fair
665,third,Każda z osób mogła uzyskać pożądane cele.,0,fair
665,third,"Cokolwiek każde z nas zrobiło, w tej suytuacji, nie miałoby to wpływu na drugą osobę.",0,fair
665,third,"To, co każde z nas zrobiło w tej sytuacji, wpływa na drugą osobę",0,fair
665,third,Kto miał większą możliwość wpływania na na przebieg sytuacji?,0,fair
665,third,Kto miał najmniejszy wpływ na wynik tej sytuacji?,0,fair
665,third,odczuwałem/am dystans i chłód,0,fair
665,third,przyjmowałem/am perspektywę drugiej osoby.,0,fair
665,third,skupiałem/am się na swojej perspektywie.,0,fair
665,third,odczuwałem/am troskę i współczucie.,0,fair
665,fourth,akceptowany/a,0,unfair
665,fourth,radosny/a?,0,unfair
665,fourth,odprężony/a?,0,unfair
665,fourth,zaniepokojony/a,0,unfair
665,fourth,związany/a z innymi?,0,unfair
665,fourth,spokojny/a,0,unfair
665,fourth,zestresowany/a,0,unfair
665,fourth,samotny/a,0,unfair
665,fourth,wykluczony/a,0,unfair
665,fourth,godna zaufania,0,unfair
665,fourth,oceniająca,0,unfair
665,fourth,nieprzyjemna,0,unfair
665,fourth,akceptująca,0,unfair
665,fourth,przyjazna,0,unfair
665,fourth,nieszczera,0,unfair
665,fourth,"Cokolwiek każde z nas zrobiło, w tej suytuacji, nie miałoby to wpływu na drugą osobę.",0,unfair
665,fourth,Nasz cele w tej sytuacji są sprzeczne.,0,unfair
665,fourth,"To, co każde z nas zrobiło w tej sytuacji, wpływa na drugą osobę",0,unfair
665,fourth,Każda z osób mogła uzyskać pożądane cele.,0,unfair
665,fourth,Kto miał większą możliwość wpływania na na przebieg sytuacji?,0,unfair
665,fourth,Kto miał najmniejszy wpływ na wynik tej sytuacji?,0,unfair
665,fourth,odczuwałem/am dystans i chłód,0,unfair
665,fourth,skupiałem/am się na swojej perspektywie.,0,unfair
665,fourth,przyjmowałem/am perspektywę drugiej osoby.,0,unfair
665,fourth,odczuwałem/am troskę i współczucie.,0,unfair
